7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.2.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
android-udev 20241109-1
aom 3.12.0-1
appmenu-gtk-module 24.05-1
appstream 1.0.4-1
appstream-qt 1.0.4-1
archlinux-keyring 20250123-1
aribb24 1.0.3-4
arj 3.10.22-14
ark 24.12.3-1
at-spi2-core 2.54.1-1
attica 6.11.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
autorandr 1.15-1
avahi 1:0.8+r194+g3f79789-3
b43-fwcutter 019-6
baloo 6.11.0-1
baloo-widgets 24.12.3-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.16.0-1
bat 0.25.0-4
bind 9.20.6-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.3.2-1
bluetooth-support 1-7
bluez 5.79-1
bluez-hid2hci 5.79-1
bluez-libs 5.79-1
bluez-qt 6.11.0-1
bluez-tools 0.2.0-6
bluez-utils 5.79-1
bolt 0.9.8-1
boost-libs 1.87.0-3
breeze 6.3.2-1
breeze-icons 6.11.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-assistant 2.1.1-1.4
btrfs-progs 6.13-1
btrfsmaintenance 0.5.2-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.5.0-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-2
chromaprint 1.5.1-9
cifs-utils 7.2-1
ckbcomp 1.234-1
clinfo 3.0.23.01.25-1
cmake 4.0.3-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.6-4
cpio 2.15-2
cppdap 1.58.0-2
cryptsetup 2.7.5-2
curl 8.12.1-1
curlftpfs 0.9.2-10
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.2.0-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dialog 1:1.3_20250116-1
diffutils 3.11-2
ding-libs 0.6.2-2
discount 3.0.0.d-1
djvulibre 3.5.28-6
dkms 3.1.5-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-2
dnssec-anchors 20190629-4
dolphin 24.12.3-1
dolphin-plugins 24.12.3-1
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.4.4-1
dracut 106-1
duktape 2.7.0-7
e2fsprogs 1.47.2-1
ebook-tools 0.2.2-8
ecryptfs-utils 111-9
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.18-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
enchant 2.8.2-2
espeak-ng 1.52.0-1
ethtool 1:6.11-1
exfatprogs 1.2.8-1
exiv2 0.28.5-1
expac 10-11
expat 2.6.4-1
expect 5.45.4-5
eza 0.20.23-1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.2-1
fakeroot 1.37-1
fastfetch 2.38.0-1
fatresize 1.1.0-2
ffmpeg 2:7.1-6
ffmpeg4.4 4.4.5-2
ffmpegthumbs 24.12.3-1
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.10.0-2
firedragon-catppuccin 1:11.24.0_1-1
firedragon-extension-plasma-integration 1.9-1.4
firewalld 2.3.0-2
fish 4.0.0-2
fish-autopair 1.0.4-1
flac 1.5.0-1
flashrom 1.5.1-1
flex 2.6.4-5
fluidsynth 2.4.3-1
fontconfig 2:2.16.0-2
