VOLUME NAME                                                        DRIVER    SCOPE
0cdc9c6e8828953c49db9fd5bb78b6680414d688b19c58f66ee0ac5bcfb7fb97   local     local
2d76337828924c78f30a5d6394c32260f9980dd96d5af3e6dddfdb5d68eb5925   local     local
3ef7532e58b9205ff59aedee696fe9d63f7a72641e30f37827204db76e32957e   local     local
6a5e046b20976b7f41d1a58a49388fd3f68822653d52f07f0f280ac02bed38c7   local     local
9ad41154a5006c4a67ea7c1085fc4a7d6f7f01db27f5d85762b69f7e3eb03c06   local     local
15b8080104296797639a7fdc6b10555b009ca0e21306fd64be0280acba9a64aa   local     local
35c8c1a705bc7ae19b23750997b2f2511700623ea0eb638d75e754163d24debc   local     local
35e28b1dfce7cbe278e45116ab4084441579b4e5382e09a80cbb29b0519e52e2   local     local
68f6a7ab7631fd80a99bece2041bfad980e6c12e4a39de1ff2d942fa899d9d27   local     local
73d6ca00ef78899a6c273f6fb10666567974b2e0c8a7143d58f8b1f65a4ee531   local     local
450d3d36156c0b2c9795f1503b223c76c38a0bf1c22e8c22ad9d24e56c60fa46   local     local
511a4a668e3d66761831cfda4d8c511838b0f22c7849c869245d000bff52d375   local     local
672b893c84bd91176ee762dca840d1bfb52d1316ffeeea1c9156a49496f188e9   local     local
3927baf29305be8bf71a024a8ab271cf0436388d184d92d3536fd4985d011969   local     local
3928e6c7b2bb30d1ac0642f5329d24240352bcc34b97ee1163a769a85e1b9eee   local     local
4803f9592390eba1a74d83191d2e32d33d20d86f021a823e6fa5714947b53f59   local     local
50853fa365c118d08037acbe45d27921a7d1db5cf1085af38492ad20061b157d   local     local
acd53ad15c6767a5582af78e76a383243e0a21a2ca226faa1727ab17501d4f6c   local     local
b6a06b6ca5b412560576529149a86cbb31eeb0dc8d56c93bc184bc42f229e3a6   local     local
b399297b8c79eeb27091290a97c2207106092337a5b6befd24c42441995416be   local     local
cfd6e76a76c44227011509d6304ace92527b635c4d8918f1f4d74d5edc706f49   local     local
config_authentik_media                                             local     local
config_authentik_templates                                         local     local
config_grafana_data                                                local     local
config_postgres_data                                               local     local
config_prometheus_data                                             local     local
config_valkey_data                                                 local     local
d5562b614a236a30cc28260307f137b95494ed22abf4067bf9390522a5a23f74   local     local
de7e4aafa7a55f6cafba9573c27303d456c23289a68a635087645fa2ec148be4   local     local
e6e3366e9ca12fbeb0739b8e521cd8992fdf1886ac479c3f91f5977b380b8488   local     local
ec620bee536bcde90628818590e77bf4b5f20b35d8542f3fa1d85e362049277a   local     local
ecc1215bf47f8507bf5712ec2cc32e981861b8df0f0c0acbc62cf49b7c81715a   local     local
f107829f8c076562fedd431b932134e910a707452bb42b11440031dbfee14a01   local     local
lou-media-stack_bazarr_config                                      local     local
lou-media-stack_deluge_config                                      local     local
lou-media-stack_filebot_config                                     local     local
lou-media-stack_gluetun_data                                       local     local
lou-media-stack_heimdall_config                                    local     local
lou-media-stack_jackett_config                                     local     local
lou-media-stack_jellyfin_cache                                     local     local
lou-media-stack_jellyfin_config                                    local     local
lou-media-stack_jellyseerr_config                                  local     local
lou-media-stack_lidarr_config                                      local     local
lou-media-stack_overseerr_config                                   local     local
lou-media-stack_plex_config                                        local     local
lou-media-stack_plex_transcode                                     local     local
lou-media-stack_portainer_data                                     local     local
lou-media-stack_postgres_data                                      local     local
lou-media-stack_radarr_config                                      local     local
lou-media-stack_recyclarr_config                                   local     local
lou-media-stack_redis_data                                         local     local
lou-media-stack_sonarr_config                                      local     local
lou-media-stack_tautulli_config                                    local     local
lou-media-stack_traefik_acme                                       local     local
lou-media-stack_tvheadend_config                                   local     local
lou-media-stack_vaultwarden_data                                   local     local
lou-media-stack_weather_config                                     local     local
lou-media-stack_weather_dashboard_config                           local     local
lou-media-stack_weather_data                                       local     local
lou-media-stack_wireguard_config                                   local     local
mediastack_arrstack-config                                         local     local
mediastack_arrstack-data                                           local     local
mediastack_arrstack-downloads                                      local     local
mediastack_arrstack-media                                          local     local
mediastack_new_authentik_media                                     local     local
mediastack_new_authentik_templates                                 local     local
mediastack_new_grafana_data                                        local     local
mediastack_new_postgres_data                                       local     local
mediastack_new_prometheus_data                                     local     local
mediastack_new_valkey_data                                         local     local
plex_config                                                        local     local
plex_transcode                                                     local     local
portainer-stacks_bazarr_data                                       local     local
portainer-stacks_jellyfin_data                                     local     local
portainer-stacks_lidarr_data                                       local     local
portainer-stacks_plex_data                                         local     local
portainer-stacks_radarr_data                                       local     local
portainer-stacks_recyclarr_data                                    local     local
portainer-stacks_sonarr_data                                       local     local
